Song,Artist,Album,Requested,Time
"Stark Naked Bluster","White Rainbow","From Now On Lets",false,2011-09-30T23:00:27Z
"Up On The North Shore","The Sea and Cake","Daytrotter Session",false,2011-09-30T22:54:43Z
Marked,EMA,"Daytrotter Session",false,2011-09-30T22:52:05Z
"Completely Golden","Lower Dens","Daytrotter Session",false,2011-09-30T22:47:28Z
"Tea Lights","Lower Dens","Daytrotter Session",false,2011-09-30T22:44:28Z
"All Around And Away We Go","Twin Sister","Daytrotter Session",false,2011-09-30T22:37:59Z
"I Want A House","Twin Sister","Daytrotter Session",false,2011-09-30T22:37:19Z
"Kaufman's Ballad",Megafaun,"Daytrotter Session",false,2011-09-30T22:30:04Z
Gather,Megafaun,"Daytrotter Session",false,2011-09-30T22:23:35Z
Trails,"Asobi Seksu","Daytrotter Session",false,2011-09-30T22:16:34Z
"Perfectly Crystal","Asobi Seksu","Daytrotter Session",false,2011-09-30T22:13:53Z
"Out of Tune","Real Estate","Daytrotter Session",false,2011-09-30T22:13:02Z
"Suburban Dogs","Real Estate","Daytrotter Session",false,2011-09-30T22:10:34Z
Adversity,"Beach Fossils","What A Pleasure",false,2011-09-30T19:56:34Z
"Soft Things",Devo,"New Traditionalists",false,2011-09-30T19:49:51Z
"Field Song","William Elliot Whitmore","Field Song",false,2011-09-30T19:42:31Z
Mercury,"Pieta Brown",Mercury,false,2011-09-30T19:42:02Z
"The Right Time",Braid,"Closer to Closed",false,2011-09-30T19:30:54Z
Empire,"Jukebox The Ghost","Everything Under The Sun",false,2011-09-30T19:27:00Z
"Old Street","Cloud Nothings","Turning On",false,2011-09-30T19:17:09Z
"Unknown Brother","The Black Keys",Brothers,false,2011-09-30T19:07:14Z
Believer,Goldfrapp,"Head first",false,2011-09-30T19:01:07Z
"Money Grabber","Fitz and the Tantrums","Pickin up the Pieces",false,2011-09-30T18:57:22Z
"World of you","The Happiness Factor",Self-Improvement,false,2011-09-30T18:56:03Z
"Goodbye Bread","Ty Segall","Goodby Bread",false,2011-09-30T18:51:25Z
Psycho-Future,"Girls Against Boys","Freak on ICA",false,2011-09-30T18:50:46Z
Believer,ADELE,21,false,2011-09-30T18:50:13Z
Sleep,Dodos,"No color",false,2011-09-30T18:48:00Z
"Don't be so hard on yourself",Darlings,Warma,false,2011-09-30T18:47:48Z
"Harm You","Mister Heavenly","Out Of Love",false,2011-09-30T18:42:54Z
"Help Me Close My Eyes","Those Dancing Days","Daydreams & Nightmares",false,2011-09-30T18:41:56Z
"Hate me soon","Yello Ostrich","The mistress",false,2011-09-30T18:38:22Z
"Guided Relaxation Dub",Borgore,Borgore,false,2011-09-30T18:38:21Z
Adultery,"The Extra Glenns",Undercard,false,2011-09-30T18:37:42Z
Afternoon,"Youth Lagoon","The Year of Hibernation",false,2011-09-30T18:30:28Z
Civilian,"Wye Oak",Civilan,false,2011-09-30T18:30:10Z
"Walking The Dog",fun.,"Aim and Ignite",false,2011-09-30T18:24:08Z
"My Body","Young the Giant","Young the Giant",false,2011-09-30T18:23:50Z
Africastle,"Bttles ","Gloss Drop",false,2011-09-30T18:23:48Z
"the beginning","Hezekiah ","I predict a riot",false,2011-09-30T18:22:24Z
Atmosphere,"Halo Effect",Waves,false,2011-09-30T18:13:29Z
"Thanks For Nothing","Middle Brother","Middle Brother",false,2011-09-30T18:10:32Z
"In Holy Pursuit","Half-Handed Cloud","We Haven't just BEen Told We have been loved",false,2011-09-30T18:09:18Z
"Out of Touch","The Hand Ups","Second Story",false,2011-09-30T18:08:32Z
Romance,"Wild Flag","Wild Flag",false,2011-09-30T18:03:28Z
"Caney Mountain","Ha Ha Tonka","Buckle in the Bible Belt",false,2011-09-30T18:02:00Z
"Punk's not dead","Darren Hanlon","Hello Strangers",false,2011-09-30T17:58:47Z
"Stinkin Thinkin","Happy Mondays","Yes Please",false,2011-09-30T17:55:22Z
"Gonna be a Rockstar","The Happiness Factor",Self-Improvement,false,2011-09-30T17:47:45Z
"Nothing at all","John Wesley Harding","The man with no shadow",false,2011-09-30T17:43:33Z
"Having It Out","Peter Wolf Crier","Garden of Arms",false,2011-09-30T17:40:13Z
"I Am A Hologram","Mister Heavenly","Out Of Love",false,2011-09-30T17:39:51Z
17,"Youth Lagoon","The Year of Hibernation",false,2011-09-30T17:33:34Z
Alex,Girls,"Father, Son, Holy Ghost",false,2011-09-30T17:24:33Z
"Some Other Way","The Extra Lens",Undercard,false,2011-09-30T17:23:33Z
"I think U are great","Yellow Ostrich","The Mistress",false,2011-09-30T17:20:57Z
"Light Bulb","Rachel Goodrich","Rachel Goodrich",false,2011-09-30T17:16:54Z
"Under Bridges and Overpasses","Modern Skirts",Gramahawk,false,2011-09-30T17:13:18Z
"Don't try and hide it.","Dodos ","No Color",false,2011-09-30T17:04:39Z
"Sweetie & Shag feat. Kazu Makino",Battles,"Gloss Drop",false,2011-09-30T17:04:02Z
"Short Version","Wild Flag","Wild Flag",false,2011-09-30T16:58:14Z
"If I should Fall Behind","Bruce Springsteen","Live Album",true,2011-09-30T16:53:38Z
Paris,"Kate Nash ","My Best Friend is You",false,2011-09-30T16:51:42Z
"The Devil's Crayon","Wild Beasts","We Still got the taste dancing on our tongues",false,2011-09-30T16:50:22Z
"Head for the Country","John Maus","We must become pitless censors of ourselves",false,2011-09-30T16:43:14Z
"Ice Age World","SUmmer Hymms","Backward Masks",false,2011-09-30T16:40:32Z
Hands,"Christopher Smith","The Beckon Call",false,2011-09-30T16:36:08Z
"The Right Time",Braid,"Closer to Closed",false,2011-09-30T16:32:42Z
"Head Full of Doubt/Road full of Promise","Avett Brothers","I and Love and You",false,2011-09-30T16:26:48Z
"go ahead","Rilo Kiley","take off and landings",false,2011-09-30T16:22:44Z
"Sing your Heart","The Trews","Acoustic Friend and Total Strangers",true,2011-09-30T16:19:02Z
"Mariner's Revenge","The Decemberists",Picaresque,false,2011-09-30T16:09:38Z
"Girl Anachronism","The Dresden Dolls","The Dresden Dolls",false,2011-09-30T16:06:36Z
"Magnesium Light","Dreamend ","So I ate myself bit by bit",false,2011-09-30T16:03:17Z
"(Don't Let Them) Cool Off","Peter Bjorn and John","Gimme Some",false,2011-09-30T16:00:23Z
"Blue Tears","Cryptacize ",Mythomania,false,2011-09-30T15:56:25Z
"Wash on By","La Strada ","New Home",false,2011-09-30T15:53:09Z
"American Goldwing","Blitzen Trapper","American Goldwing",false,2011-09-30T15:50:05Z
"What can I do for you?",Illinois,"What the Hell do I Know",true,2011-09-30T15:45:50Z
"Get in the Car","Francis And The Lights","It'll Be Better",false,2011-09-30T15:43:37Z
"Summer Moon","The Raveonettes","Raven in the Grave",false,2011-09-30T15:41:06Z
"Into my Arms","Nick Cave and the Bad Seeds","Best of ",false,2011-09-30T15:34:43Z
"Troubles will be gone","Tallest Man on Earth","The Wild Hunt",false,2011-09-30T15:33:13Z
"You Gotta Lose",obits,"Moody, Standard and Poor",false,2011-09-30T15:28:30Z
Begun,"Inner ","Love The Only Way",false,2011-09-30T15:23:19Z
"Harry and Bess","Ferraby Lionheart","The Jack of Hearts",false,2011-09-30T15:20:00Z
Mercury,"Pieta Brown",Mercury,false,2011-09-30T15:18:15Z
"Winding Tree","Nick Castro and the Young Elders","Come into our House",false,2011-09-30T15:11:57Z
"The Midnight Ghost","Mt. Desolation","Mt. Desolation",false,2011-09-30T15:11:15Z
"CAn't find the enterance","These Dancing Days","Daydreams & Nightmares",false,2011-09-30T15:01:59Z
"Untitled IX",Irezumi,Endurance,false,2011-09-30T06:54:08Z
Prelude,"Brian McBride","When The Detail Lost Its Freedom",false,2011-09-30T06:52:27Z
"Glen's Goo","The Dead Texan","The Dead Texan",false,2011-09-30T06:48:24Z
"Anchor States (part 1)","Stars Of The Lid","Per Aspera Ad Astra",false,2011-09-30T06:43:51Z
"Hour Two","Thomas Koner","La Barca",false,2011-09-30T06:38:32Z
"Pentacost 3","David Tagg",Pentacost,false,2011-09-30T06:30:16Z
Becalmed,"Brian Eno","Another Green World",false,2011-09-30T06:25:30Z
"Untitled VI","William Basinski",Melancholia,false,2011-09-30T06:20:10Z
"Low Of Vibration","Tetsu Inoue","Ambiant Otaku",false,2011-09-30T06:08:59Z
"Yara 05","Marsen Jules",Yara,false,2011-09-30T06:03:11Z
"Tal 90","Wolfgang Voigt",Gas,false,2011-09-30T05:52:59Z
"Infinite Shore","Steve Roach","The Magnificent Void",false,2011-09-30T05:40:07Z
"Moss Garden","David Bowie",Heroes,false,2011-09-30T05:34:52Z
"Tryptiline Fabricate","Casino Versus Japan","Whole Numbers Play The Basics",false,2011-09-30T05:34:14Z
"At First Touch","The Sight Below",Glider,false,2011-09-30T05:25:25Z
"Taco de Macque","The Dead Texan","The Dead Texan",false,2011-09-30T05:22:36Z
"Poa Alpina",Biosphere,Substrata,false,2011-09-30T05:17:43Z
"Spiegel im Spiegel I","Arvo Part",Alina,false,2011-09-30T05:14:59Z
"Il Chercio Rosso","Nicola Conte","Jet Sounds",false,2011-09-30T04:58:09Z
Tokyo,"The Books","The Lemon of Pink",false,2011-09-30T04:55:12Z
"Side Streets","Saint Etienne","Tales from Turnpike House",false,2011-09-30T04:55:01Z
"Magpie to the Morning","Neko Case","Middle Cyclone",false,2011-09-30T04:49:21Z
"Barquinho Heroi f/ Monica Salmaso","Tom Ze","Estudanto a Bossa",false,2011-09-30T04:46:22Z
"Xica Da Silva","Jorge Ben","Africa Brasil",false,2011-09-30T04:42:32Z
"La Nuit Est Sur La Ville","Francoise Hardy","The Vogue Years",false,2011-09-30T04:38:04Z
"Let's Dream Tonight","Reading Rainbow","Prism Eyes",false,2011-09-30T04:33:51Z
"Ship of Fools","John Cale",Fear,false,2011-09-30T04:28:38Z
Fear,"John Cale","Ship of Fools",false,2011-09-30T04:28:16Z
"Fifty-Fifty Clown","Cocteau Twins","Heaven or Las Vegas",false,2011-09-30T04:25:03Z
"Sofa Rockers","Sofa Surfers","The K&D Sessions",false,2011-09-30T04:18:48Z
Tanzmusik,Kraftwerk,"Ralf & Florian",false,2011-09-30T04:11:21Z
"Midnight In A Perfect World","Dj Shadow",Endtroducing...,false,2011-09-30T04:06:37Z
"City Lights","Breakbeat Heartbeat",Collective,false,2011-09-30T04:06:05Z
Belle,"Alif Tree","Hotel Costes 9",false,2011-09-30T04:02:47Z
"Ethnic Majority","Nightmares on Wax","Carboot Soul",false,2011-09-30T03:56:09Z
"Lagrimas Viejas f/ Natalia Clavier","Federico Aubele","Berlin 13",false,2011-09-30T03:51:57Z
"Land Of...","St. Germain",Tourist,false,2011-09-30T03:47:48Z
"Too Hot","Kool & The Gang","Ladies Night",false,2011-09-30T03:47:24Z
Weegee,"Les Hommes","Les Hommes",false,2011-09-30T03:38:41Z
"Buddhist Prayer","The Durutti Column","Vini Reilly",false,2011-09-30T03:32:04Z
"Love ft. Nino Moschella",Greyboy,"15 Years of West Coast Cool",false,2011-09-30T03:28:34Z
"Non-stop to Brazil","Astrud Gilberto","The Silver Collection",false,2011-09-30T03:28:06Z
"I Can't Help It","Michael Jackson","Off The Wall",false,2011-09-30T03:21:10Z
"Northern Classic","Donna Regina","A Collection of Little Secrets",false,2011-09-30T03:20:53Z
"A ","Donna Regina","A Collection of Little Secrets",false,2011-09-30T03:20:38Z
"Turtle Island","Beach House",Devotion,false,2011-09-30T03:08:30Z
"In Dreams","Roy Orbison","The Essential Roy Orbison",false,2011-09-30T03:08:02Z
"Kometenmelodie 2",Kraftwerk,Autobahn,false,2011-09-30T03:07:44Z
"Happy Up Here",Royksopp,Junior,false,2011-09-30T02:54:01Z
"state of the union","cloud cult",Album,false,2011-09-30T02:51:51Z
"War & Peace (Aoki Takamasa Remix)"," Ryuichi Sakamoto",Bricolages,false,2011-09-30T02:43:15Z
"Oh My","Arliss Parker","Handsome Like a Lion",false,2011-09-30T02:32:22Z
Red-Eye,"The Album LeafI","Into The Blue Again",false,2011-09-30T02:28:53Z
